datetime,price
2023-10-18,10.87
2023-10-19,9.506
2023-10-20,9.997
2023-10-21,11.591
2023-10-22,14.251
2023-10-23,13.596
2023-10-24,13.766
2023-10-25,12.289
2023-10-26,10.863
2023-10-27,11.836
2023-10-28,12.463
2023-10-29,8.777
2023-10-30,9.916
2023-10-31,9.84
2023-11-01,7.63
2023-11-02,7.825
2023-11-03,8.564
2023-11-04,9.825
2023-11-05,9.513
2023-11-06,6.994
2023-11-07,10.135
2023-11-08,9.792
2023-11-09,8.425
2023-11-10,6.77
2023-11-11,7.883
2023-11-12,9.715
2023-11-13,7.994
2023-11-14,8.11
2023-11-15,10.513
2023-11-16,11.81
2023-11-17,9.607
2023-11-18,8.854
2023-11-19,6.974
2023-11-20,9.563
2023-11-21,9.339
2023-11-22,8.833
2023-11-23,5.545
2023-11-24,7.908
2023-11-25,8.822
2023-11-26,9.444
2023-11-27,9.65
2023-11-28,11.19
2023-11-29,10.528
2023-11-30,13.572
2023-12-01,12.057
2023-12-02,15.191
2023-12-03,10.019
2023-12-04,9.966
2023-12-05,9.978
2023-12-06,11.729
2023-12-07,10.28
2023-12-08,8.876
2023-12-09,5.039
2023-12-10,8.61
2023-12-11,8.15
2023-12-12,8.159
2023-12-13,7.863
2023-12-14,8.679
2023-12-15,7.302
2023-12-16,5.839
2023-12-17,6.754
2023-12-18,6.515
2023-12-19,6.316
2023-12-20,3.101
2023-12-21,4.413
2023-12-22,5.238
2023-12-23,3.669
2023-12-24,0.616
2023-12-25,3.549
2023-12-26,5.256
2023-12-27,4.108
2023-12-28,1.769
2023-12-29,6.597
2023-12-30,5.367
2023-12-31,3.202
